episode,winner,survivorScore,killerScore,rounds
0,Killer,1,1,100
1,Survivor,3,0,56
2,Killer,2,0,100
3,Killer,2,0,100
4,Killer,2,0,100
5,Killer,0,2,100
6,Killer,2,1,92
7,Killer,2,0,100
8,Survivor,3,0,67
9,Killer,2,0,100
10,Killer,2,0,100
11,Killer,2,0,100
12,Survivor,3,0,88
13,Survivor,3,0,55
14,Survivor,3,0,92
15,Killer,2,0,100
16,Survivor,3,0,73
17,Killer,2,0,100
18,Survivor,3,0,41
19,Killer,2,0,100
20,Survivor,3,0,60
21,Killer,2,0,100
22,Killer,2,0,100
23,Survivor,3,0,78
24,Killer,1,1,100
25,Survivor,3,0,65
26,Killer,2,0,100
27,Survivor,3,0,65
28,Killer,2,0,100
29,Survivor,3,0,50
30,Killer,1,1,100
31,Killer,0,2,100
32,Survivor,3,0,90
33,Killer,1,1,100
34,Killer,2,0,100
35,Killer,1,1,100
36,Survivor,3,0,47
37,Killer,2,0,100
38,Killer,1,1,100
39,Killer,2,0,100
40,Killer,2,0,100
41,Killer,2,0,100
42,Survivor,3,0,67
43,Killer,2,0,100
44,Survivor,3,0,71
45,Killer,2,0,100
46,Killer,2,0,100
47,Killer,1,1,100
48,Killer,2,0,100
49,Survivor,3,0,77
50,Killer,2,0,100
51,Killer,2,0,100
52,Survivor,3,0,41
53,Killer,2,0,100
54,Survivor,3,0,87
55,Killer,1,1,100
56,Survivor,3,0,62
57,Survivor,3,0,49
58,Survivor,3,0,75
59,Killer,2,0,100
60,Survivor,3,0,34
61,Killer,1,0,100
62,Killer,1,1,100
63,Killer,2,0,100
64,Killer,2,0,100
65,Killer,1,0,100
66,Survivor,3,0,48
67,Killer,2,0,100
68,Killer,2,0,100
69,Survivor,3,0,99
70,Survivor,3,0,85
71,Killer,1,1,100
72,Survivor,3,0,86
73,Killer,1,1,100
74,Survivor,3,0,44
75,Killer,1,1,100
76,Survivor,3,0,54
77,Killer,1,1,100
78,Killer,1,1,100
79,Killer,2,0,100
80,Survivor,3,0,59
81,Killer,1,1,100
82,Killer,2,0,100
83,Survivor,3,0,36
84,Survivor,3,0,38
85,Survivor,3,0,96
86,Killer,2,0,100
87,Survivor,3,0,88
88,Survivor,3,0,58
89,Killer,2,0,100
90,Survivor,3,0,52
91,Killer,2,0,100
92,Survivor,3,0,95
93,Killer,2,0,100
94,Killer,2,0,100
95,Killer,1,1,100
96,Killer,1,1,100
97,Killer,2,0,100
98,Survivor,3,0,49
99,Survivor,3,0,78
100,Survivor,3,0,66
101,Killer,2,0,100
102,Killer,2,0,100
103,Killer,2,0,100
104,Survivor,3,0,57
105,Killer,1,0,100
106,Killer,1,1,100
107,Killer,2,1,27
108,Killer,2,0,100
109,Killer,1,1,100
110,Killer,2,0,100
111,Killer,2,0,100
112,Survivor,3,0,59
113,Killer,0,2,100
114,Survivor,3,0,65
115,Killer,1,1,100
116,Survivor,3,0,77
117,Killer,2,0,100
118,Killer,2,0,100
119,Killer,2,0,100
120,Killer,1,1,100
121,Killer,2,0,100
122,Survivor,3,0,53
123,Survivor,3,0,82
124,Survivor,3,0,78
125,Survivor,3,0,92
126,Killer,2,0,100
127,Survivor,3,0,67
128,Survivor,3,0,64
129,Killer,2,0,100
130,Survivor,3,0,88
131,Killer,1,1,100
132,Survivor,3,0,49
133,Killer,0,2,100
134,Killer,0,2,100
135,Killer,2,0,100
136,Survivor,3,0,64
137,Killer,2,0,100
138,Survivor,3,0,77
139,Killer,2,0,100
140,Killer,2,1,45
141,Killer,2,0,100
142,Survivor,3,0,77
143,Killer,1,0,100
144,Killer,2,0,100
145,Killer,2,0,100
146,Survivor,3,0,57
147,Killer,2,0,100
148,Killer,2,0,100
149,Killer,2,0,100
150,Survivor,3,0,77
151,Killer,2,0,100
152,Survivor,3,0,76
153,Killer,2,0,100
154,Killer,2,0,100
155,Killer,2,0,100
156,Survivor,3,0,61
157,Survivor,3,0,88
158,Survivor,3,0,76
159,Survivor,3,0,63
160,Survivor,3,0,68
161,Killer,2,0,100
162,Killer,2,0,100
163,Survivor,3,0,56
164,Survivor,3,0,85
165,Survivor,3,0,87
166,Survivor,3,0,76
167,Killer,1,1,100
168,Survivor,3,0,50
169,Killer,2,1,43
170,Survivor,3,0,61
171,Killer,2,0,100
172,Survivor,3,0,89
173,Killer,1,1,100
174,Survivor,3,0,79
175,Killer,2,0,100
176,Killer,2,1,49
177,Survivor,3,0,67
178,Killer,2,0,100
179,Killer,2,0,100
180,Killer,2,0,100
181,Killer,2,0,100
182,Survivor,3,0,73
