episode,winner,survivorScore,killerScore,rounds
0,Killer,1,1,100
1,Killer,2,1,82
2,Killer,2,0,100
3,Survivor,3,0,40
4,Killer,2,0,100
5,Killer,2,0,100
6,Killer,2,0,100
7,Killer,2,0,100
8,Survivor,3,0,75
9,Killer,2,0,100
10,Killer,1,1,100
11,Survivor,3,0,95
12,Killer,2,0,100
13,Survivor,3,0,38
14,Killer,1,1,100
15,Killer,2,0,100
16,Killer,2,0,100
17,Survivor,3,0,61
18,Killer,1,1,100
19,Killer,2,0,100
20,Killer,2,0,100
21,Survivor,3,0,36
22,Killer,2,0,100
23,Killer,2,0,100
24,Killer,2,0,100
25,Killer,2,0,100
26,Survivor,3,0,83
27,Survivor,3,0,37
28,Killer,2,0,100
29,Survivor,3,0,80
30,Killer,2,0,100
31,Survivor,3,0,85
32,Killer,2,0,100
33,Survivor,3,0,89
34,Survivor,3,0,86
35,Survivor,3,0,47
36,Killer,2,0,100
37,Survivor,3,0,50
38,Killer,2,0,100
39,Killer,0,2,100
40,Survivor,3,0,94
41,Killer,2,1,36
42,Killer,2,0,100
43,Killer,1,1,100
44,Survivor,3,0,36
45,Survivor,3,0,41
46,Killer,2,0,100
47,Killer,1,1,100
48,Killer,1,1,100
49,Survivor,3,0,89
50,Killer,2,0,100
51,Survivor,3,0,49
52,Killer,1,1,100
53,Survivor,3,0,92
54,Killer,2,0,100
55,Killer,2,0,100
56,Killer,1,1,100
57,Killer,1,1,100
58,Killer,2,0,100
59,Survivor,3,0,51
60,Killer,2,0,100
61,Killer,2,0,100
62,Survivor,3,0,94
63,Survivor,3,0,81
64,Survivor,3,0,98
65,Survivor,3,0,56
66,Survivor,3,0,69
67,Survivor,3,0,91
68,Survivor,3,0,36
69,Survivor,3,0,45
70,Killer,0,2,100
71,Killer,2,0,100
72,Killer,2,0,100
73,Killer,2,1,55
74,Killer,2,0,100
75,Survivor,3,0,61
76,Killer,2,0,100
77,Killer,1,1,100
78,Killer,1,1,100
79,Killer,2,0,100
80,Survivor,3,0,69
81,Killer,1,1,100
82,Killer,0,2,100
83,Survivor,3,0,56
84,Killer,2,0,100
85,Killer,2,0,100
86,Survivor,3,0,96
87,Survivor,3,0,78
88,Killer,2,0,100
89,Survivor,3,0,60
90,Killer,1,1,100
91,Survivor,3,0,90
92,Survivor,3,0,46
93,Survivor,3,0,49
94,Survivor,3,0,90
95,Killer,1,1,100
96,Killer,2,0,100
97,Killer,2,0,100
98,Killer,1,0,100
99,Killer,2,0,100
100,Killer,2,0,100
101,Killer,2,0,100
102,Killer,2,0,100
103,Killer,2,0,100
104,Killer,2,0,100
105,Survivor,3,0,51
106,Survivor,3,0,39
107,Survivor,3,0,60
108,Killer,2,0,100
109,Survivor,3,0,87
110,Killer,1,1,100
111,Killer,2,0,100
112,Killer,2,0,100
113,Killer,2,0,100
114,Killer,2,0,100
115,Killer,2,0,100
116,Survivor,3,0,44
117,Survivor,3,0,58
118,Survivor,3,0,88
119,Killer,2,0,100
120,Killer,2,0,100
121,Killer,2,1,50
122,Killer,1,1,100
123,Killer,2,0,100
124,Killer,2,0,100
125,Killer,2,0,100
126,Killer,1,1,100
127,Killer,2,1,74
128,Killer,1,1,100
129,Survivor,3,0,49
130,Killer,1,1,100
131,Survivor,3,0,64
132,Killer,1,1,100
133,Killer,2,0,100
134,Killer,2,0,100
135,Killer,1,1,100
136,Killer,2,0,100
137,Survivor,3,0,85
138,Killer,2,0,100
139,Survivor,3,0,45
140,Killer,1,1,100
141,Killer,2,0,100
142,Survivor,3,0,92
143,Killer,2,0,100
144,Killer,2,0,100
145,Survivor,3,0,75
146,Killer,2,0,100
147,Survivor,3,0,98
148,Killer,2,0,100
149,Killer,1,1,100
150,Killer,1,1,100
151,Killer,2,0,100
152,Killer,2,0,100
153,Survivor,3,0,46
154,Killer,2,0,100
155,Survivor,3,0,69
156,Survivor,3,0,98
157,Killer,2,0,100
158,Killer,2,0,100
159,Survivor,3,0,86
160,Killer,2,0,100
161,Killer,2,0,100
162,Survivor,3,0,74
163,Killer,2,0,100
164,Survivor,3,0,61
165,Survivor,3,0,95
166,Killer,1,1,100
167,Survivor,3,0,70
168,Killer,2,0,100
169,Killer,2,1,68
170,Killer,2,0,100
171,Survivor,3,0,38
172,Killer,2,0,100
173,Killer,1,1,100
174,Killer,2,0,100
175,Killer,2,0,100
176,Killer,2,0,100
177,Survivor,3,0,44
178,Killer,0,2,100
179,Killer,2,0,100
180,Killer,2,0,100
181,Killer,2,0,100
182,Killer,2,0,100
183,Killer,1,1,100
184,Killer,2,0,100
185,Survivor,3,0,49
186,Killer,1,1,100
187,Survivor,3,0,52
188,Killer,2,0,100
189,Killer,1,1,100
190,Killer,1,1,100
191,Survivor,3,0,67
192,Killer,0,2,100
193,Killer,2,0,100
194,Survivor,3,0,29
195,Survivor,3,0,47
196,Survivor,3,0,71
197,Killer,2,0,100
198,Killer,2,0,100
199,Survivor,3,0,66
200,Killer,2,0,100
201,Survivor,3,0,51
202,Killer,1,1,100
203,Survivor,3,0,94
204,Killer,2,0,100
205,Killer,2,0,100
206,Killer,0,2,100
207,Survivor,3,0,94
208,Killer,2,0,100
209,Survivor,3,0,53
210,Killer,1,1,100
211,Survivor,3,0,64
212,Killer,2,0,100
213,Killer,2,0,100
214,Survivor,3,0,77
215,Survivor,3,0,64
216,Killer,2,0,100
217,Killer,1,1,100
218,Killer,2,1,37
219,Survivor,3,0,46
220,Killer,1,1,100
221,Survivor,3,0,89
222,Killer,2,0,100
223,Survivor,3,0,64
224,Killer,2,0,100
225,Survivor,3,0,63
226,Killer,2,0,100
227,Survivor,3,0,81
228,Killer,2,0,100
